area,rooms,floor,year_of_construction,price
102,5,9,1996,219756
59,2,9,1962,136120
83,3,8,1955,195172
107,4,8,1974,189779
104,4,10,1966,304570
81,4,4,1993,142126
109,4,1,2011,186984
105,4,7,2018,182571
107,4,1,1955,260535
104,5,3,1996,286630
116,5,6,1983,226562
119,5,9,1986,307208
109,4,5,2021,260540
113,4,5,1957,359031
110,4,8,1973,257027
119,5,6,2000,265941
64,3,3,1999,150680
105,5,6,1993,221790
65,3,1,2017,126499
53,2,4,1958,119123
115,5,2,1985,292032
76,2,1,1966,143665
50,1,2,2001,67731
79,2,8,1979,114778
73,3,3,1991,158905
61,3,7,2019,131098
116,4,9,1986,287399
51,1,3,1979,82013
112,5,1,1951,341839
51,2,8,1996,80591
85,3,6,1996,168028
83,3,7,1972,154577
72,3,8,1979,150995
101,5,3,2014,194716
109,4,3,2002,187521
93,3,3,2019,169238
104,5,6,2020,252293
71,2,10,2016,153886
87,3,9,1984,166251
93,3,3,2012,202032
59,2,1,2016,108332
93,3,3,2003,185784
93,3,5,2017,210847
59,1,7,2016,83839
63,2,7,1995,104903
99,3,3,1988,200211
117,5,2,1959,311949
58,2,1,1974,111710
117,4,6,1964,267872
76,3,3,1984,176835
53,1,4,1980,79281
79,2,1,1971,128799
76,3,7,1960,232147
99,4,9,2018,249318
99,4,4,2012,176190
116,4,2,2014,233917
111,4,6,2008,254144
120,4,8,2015,223812
101,4,7,2019,255409
107,4,4,1984,221876
67,2,1,2012,106337
57,1,7,2021,80361
89,3,3,2000,148893
78,3,1,1971,122170
62,3,6,1985,137719
120,5,8,1952,449803
104,5,9,1984,232667
93,4,5,1983,203374
78,3,6,1999,133024
89,4,1,2005,142860
90,3,6,1963,184825
51,1,2,2015,98939
116,4,10,2000,205439
96,3,1,1991,172245
103,5,8,1993,271348
88,3,10,1960,241471
97,3,1,2018,185317
115,5,10,1991,215168
100,5,8,1957,300970
73,3,2,1988,153642
103,5,7,1952,377062
75,3,7,1996,127717
101,5,4,1969,277982
105,5,4,2022,201831
114,5,6,1981,253886
118,4,4,1965,330744
100,4,3,1977,226296
70,3,2,1997,157942
60,2,8,1993,119723
75,3,7,2001,143354
102,4,7,1967,211417
114,4,8,2017,204794
113,5,10,1957,408571
96,3,10,1994,167043
74,2,8,2020,112157
83,3,4,2017,143156
102,5,4,2011,267560
96,3,3,1997,175273
105,5,7,1977,222956
70,3,6,1992,163700
89,3,3,1957,257123
95,3,2,2002,213680
64,3,4,1992,116048
67,3,1,2012,125924
110,4,9,2001,269387
68,3,3,1956,179898
79,2,7,2022,132570
113,5,7,2012,256972
57,2,8,1952,142807
92,3,10,1950,239080
119,4,4,2003,283040
107,4,6,1951,300530
63,2,2,2004,105228
63,3,5,2017,127336
74,3,6,2011,169510
106,4,2,1999,212579
79,2,5,2001,116975
103,5,1,1955,271472
94,4,8,1994,191704
77,2,1,1950,221707
117,4,3,1970,270948
75,3,2,2015,149311
93,3,6,1976,170168
92,3,5,1952,313309
91,3,6,1980,145414
113,4,7,2006,233044
71,2,1,1969,110138
113,5,8,1953,411655
84,4,1,1984,151973
106,5,8,2005,227202
77,3,7,2001,129353
90,4,4,2002,160683
57,2,5,1958,151138
75,3,4,1953,179917
96,4,5,1950,359583
77,3,8,1972,190133
103,5,9,1991,275894
62,2,3,2001,107386
90,4,5,1956,301179
56,1,8,2010,81878
58,1,7,1995,87660
57,2,3,1961,120135
90,3,1,1995,144845
104,5,4,1950,306061
103,5,2,1995,219936
72,2,7,1986,111024
118,4,3,1977,209965
109,4,7,1982,252903
101,4,1,2020,205694
108,5,10,1993,257839
84,4,6,1976,147392
56,2,7,2003,83262
82,4,1,1962,221710
65,2,7,1992,136665
87,4,5,2007,158674
98,4,6,1957,294478
82,3,5,2010,188592
117,4,6,2006,203882
72,3,10,1965,204942
58,2,7,1970,129399
61,3,5,1957,189342
111,4,2,1957,328465
63,2,2,2012,117818
82,4,5,1954,286111
115,4,9,1984,219860
83,4,4,2021,159588
87,4,7,2006,153873
76,2,7,1987,132684
71,3,7,1983,126174
66,3,3,1971,168139
68,3,3,1961,181611
98,3,10,1992,166021
82,4,4,2014,167318
101,5,5,2011,236502
84,3,4,2015,195270
117,4,4,1968,253926
73,2,9,2019,143777
72,3,1,1999,117940
117,5,10,2014,246891
97,4,6,1950,256425
101,5,3,2013,258247
111,4,4,1961,287364
95,3,10,1993,185498
85,4,4,1963,231720
63,3,5,1958,188985
75,3,4,2003,157665
112,4,8,1983,276061
119,5,2,2012,222582
115,5,7,2013,304730
105,4,1,1975,205985
78,2,5,1974,167107
117,4,10,1960,304307
56,1,7,2016,103414
53,1,8,2001,79187
117,5,1,1992,267464
87,3,3,1965,173240
82,4,2,2017,142901
95,3,7,2019,178063
66,2,8,2019,114880
74,2,9,2016,112519
120,4,7,2000,258698
52,2,3,1991,76419
73,3,2,1992,153302
109,4,2,2020,219831
96,4,10,1993,199161
63,2,8,1975,115075
103,4,3,1991,237516
70,2,8,1982,130775
81,3,4,2003,132706
107,5,1,1967,229609
96,3,5,2005,177927
101,4,2,1950,299766
117,5,10,1993,314447
68,3,4,1984,120716
84,3,7,1954,193449
69,2,2,1974,123778
62,3,3,1963,154783
96,3,9,2013,189039
58,1,9,2013,105930
73,3,4,1989,169370
51,2,5,2007,101938
71,2,6,1958,191570
106,4,8,2009,201211
71,2,5,2007,128901
113,4,4,1962,296063
70,3,6,2009,161463
69,2,9,1983,136210
99,4,8,2022,231498
120,4,10,1965,326025
66,2,1,2017,114202
109,5,10,1976,237927
67,3,5,1974,123852
107,5,2,1973,206860
119,4,2,1977,215909
120,4,6,1993,259619
67,2,4,2012,145039
114,5,8,2008,225669
92,3,9,1981,207519
107,4,5,1962,314729
88,3,3,1986,194318
72,2,5,2007,134139
112,4,5,1965,249016
114,4,3,2003,230152
74,2,10,1973,134568
87,4,5,2013,179818
90,3,7,2007,151358
111,5,1,2013,262628
104,4,8,2015,186822
110,5,2,1989,303821
71,2,2,1953,175718
96,3,1,2007,142242
53,1,2,1992,82836
119,4,7,1967,340165
112,5,4,1965,291985
72,3,8,2014,120346
106,5,2,1975,235778
80,3,1,2010,121879
75,3,2,1984,134419
92,4,6,1997,176463
82,3,2,1998,181351
116,5,1,1958,304800
108,5,3,2006,215375
76,2,2,1961,171440
70,3,7,1988,126111
52,1,1,1961,90536
100,4,1,1998,215666
90,4,4,1979,227871
86,4,2,1986,190583
85,3,10,1978,140629
65,2,8,2018,102616
52,1,9,1995,77321
94,4,3,2022,192987
115,4,9,1966,314368
81,3,1,2005,124505
83,3,3,1953,190523
97,4,2,2022,180482
75,3,7,1986,156508
95,3,3,1997,198633
76,2,8,1986,164862
72,2,2,1951,211500
109,5,10,1957,363593
52,1,6,1988,75642
65,2,3,1966,135291
93,3,4,1994,186845
75,3,5,2013,176915
92,3,8,2016,182889
106,4,4,1961,314015
80,3,3,2001,140846
91,3,7,2011,157427
65,3,4,2016,120749
104,4,6,2002,254852
86,3,10,1981,144118
80,3,4,2019,128705
66,2,10,2018,103505
83,4,8,1975,185702
87,4,7,1951,251388
61,2,3,1957,180593
94,4,1,1988,180024
64,2,8,1962,163406
89,3,8,1966,239708
62,2,10,2021,105894
57,1,7,2001,106025
116,5,5,1971,248138
103,5,7,2001,208054
87,3,8,1954,238719
118,4,6,1992,245982
66,2,1,1986,113475
104,4,5,1959,252719
52,1,7,1969,99591
74,3,2,1994,145397
113,5,9,1958,301651
115,4,5,1982,261647
80,3,2,2014,143860
78,2,8,2016,131216
88,3,3,1984,164109
88,3,4,1983,172713
54,2,7,1980,94105
93,4,2,1964,213545
96,3,8,2020,226241
88,4,6,1953,315988
95,3,10,1965,211614
96,3,7,2001,183681
75,3,2,2018,130813
81,4,4,1960,225853
82,4,6,1967,217094
96,4,10,1963,280180
105,4,6,2017,259245
94,4,8,2015,178632
120,4,6,2022,243898
120,4,1,2007,253524
97,3,8,1990,156547
60,2,4,1957,134914
95,3,2,2000,167757
50,2,6,1967,119030
63,3,10,2022,142414
93,4,7,2016,185493
85,4,7,2007,206610
103,4,6,1973,209747
90,3,2,1965,220147
52,1,3,1974,77911
82,4,1,2008,128900
79,3,2,1973,144743
119,5,7,1964,341944
55,1,3,1985,100690
116,4,3,1989,223621
102,4,6,1987,186227
80,3,2,1997,142527
81,4,6,1956,234387
116,4,4,2010,280589
94,3,1,2014,137869
84,3,4,1999,187111
106,4,10,2020,212908
91,4,1,1996,177448
89,4,5,2020,226226
99,3,9,1978,209347
74,2,3,1991,131231
91,4,7,2005,166856
52,1,10,1952,148164
85,3,4,1989,187562
75,3,9,1956,179379
95,3,7,2015,194410
96,4,1,2002,194882
111,4,6,2017,240632
113,5,3,1958,412273
97,3,7,2017,192729
101,4,3,1972,196458
73,2,4,1954,180707
55,1,2,1983,77803
80,3,10,1982,149520
74,2,7,1979,158967
73,2,5,1961,154602
120,4,7,2013,248875
60,2,1,1964,119487
104,4,7,1983,236219
86,3,1,1994,167981
114,5,1,2012,259923
58,2,4,1982,113252
66,2,7,1998,117228
71,2,9,1972,133878
69,2,5,2018,147092
52,1,4,1976,73669
112,5,1,1991,197430
61,2,2,1952,130606
54,2,7,1985,112241
66,2,1,2002,112278
58,2,3,1996,120787
82,3,2,1993,190776
97,4,6,2011,188197
101,5,8,1988,266196
113,4,10,2022,196035
67,2,1,2007,126592
109,5,6,1986,274259
114,5,9,1989,308967
80,3,7,2002,187746
54,2,7,2001,92108
85,4,7,1977,215127
95,3,2,2005,189373
107,5,10,2013,244620
99,4,10,1969,239835
91,4,2,1993,187796
108,5,4,1956,352533
98,3,6,1994,209359
74,3,9,2015,161350
65,2,1,1975,119028
62,2,10,2003,109953
112,4,3,1965,324856
106,4,6,1965,219749
83,4,8,1995,198113
107,4,2,2012,259777
53,1,9,1992,70129
95,3,10,2002,161136
72,3,10,1988,121531
112,5,1,2000,250928
78,3,9,1960,239627
61,3,4,2009,97040
95,3,5,1966,228825
93,3,6,1986,194478
58,1,6,1970,117464
81,4,6,1993,175686
69,3,10,1967,148172
80,3,1,1969,155419
106,5,2,1958,377316
69,2,9,1983,137572
94,3,9,2003,175773
113,5,4,1967,353085
76,2,5,1981,162090
79,3,6,2005,162157
89,3,2,2010,162630
71,3,7,2017,114171
57,2,1,1989,77133
51,1,4,2001,67836
106,4,9,1990,246089
72,3,5,2019,131739
107,5,2,1980,216504
82,4,10,1992,196559
78,2,2,1974,167103
75,3,2,2004,121753
100,5,9,1968,315439
75,2,8,1950,231415
95,4,5,1957,253245
71,2,4,1988,129262
66,2,3,2010,105788
82,3,3,1996,186953
84,4,3,1972,195752
74,3,3,1983,131950
106,5,4,1966,338035
105,5,9,1988,257986
87,3,2,2022,178346
91,4,2,1964,276926
55,1,5,1974,75688
84,4,4,1995,189193
104,4,4,1999,181047
105,5,7,1962,342827
93,4,6,2014,170649
56,1,10,2013,98299
60,3,6,2021,126530
98,4,6,1978,177236
109,5,4,1969,268383
81,4,3,2017,155150
110,5,5,2005,210385
88,4,7,1963,220821
61,3,5,1997,98632
82,3,4,1966,167808
114,4,6,1952,377110
95,3,9,1975,220066
94,3,8,1972,216647
50,2,1,2007,66999
100,4,4,1976,180644
55,1,6,1958,115402
53,2,4,1967,94842
72,2,9,2018,104729
101,4,4,1985,246071
80,3,4,1969,167943
66,2,7,2013,105929
119,5,10,1986,272030
81,4,7,1992,198132
69,2,2,2000,113178
80,4,2,1986,154059
82,3,1,2020,118361
64,3,2,2008,106888
75,2,1,1967,157798
115,4,1,1974,196939
104,4,7,2010,229196
50,1,8,1951,126278
94,4,7,1973,210473
111,4,6,1977,266526
111,4,9,2006,224937
101,5,2,1968,277439
75,3,4,1969,189613
53,2,4,1966,100114
95,4,2,1958,289818
103,5,2,1956,333079
53,2,10,1977,112678
55,1,9,2018,94899
91,3,2,1951,246352
72,2,5,1951,157740
90,3,3,1964,196937
71,2,9,1958,202506
100,4,5,2011,207050
62,2,7,1956,149748
102,5,9,1994,269170
57,1,9,1954,131743
113,4,2,1978,214036
95,3,1,1977,141812
55,1,9,1951,132284
107,4,8,2022,268637
90,3,7,1988,194169
102,4,10,2013,229870
111,5,4,1960,392413
84,3,10,1989,138255
95,3,2,1985,180835
54,1,6,1964,116759
75,2,3,1968,145511
62,3,1,1983,129766
57,1,8,1963,112773
78,3,1,1955,231682
60,3,5,2010,109858
118,4,4,1985,268905
73,2,10,2000,158547
78,3,6,1998,127577
63,3,10,2020,127894
54,2,8,2005,106143
70,2,8,1993,128472
74,2,10,1971,118736
109,4,2,1954,268497
87,4,5,1960,199759
119,4,4,2015,268704
113,4,9,1990,239537
90,3,8,1980,158910
116,4,1,1968,285055
94,4,7,1983,164476
51,1,10,1997,85891
67,3,1,1956,134483
84,4,2,1953,212688
78,3,8,1980,153368
119,4,4,1967,322207
115,4,3,1960,378913
109,5,1,2010,207694
94,4,7,1983,239658
86,4,8,2011,162596
108,4,7,2022,230772
65,3,3,1967,155164
78,3,7,1987,172047
76,3,2,2014,160989
67,3,8,1962,147530
52,1,8,1966,104919
98,4,7,2016,170341
61,2,8,2018,92822
53,1,3,1958,124946
92,4,10,1951,261314
95,4,4,1992,180791
60,2,6,1979,89624
58,1,2,1977,78945
79,3,5,1958,175682
120,4,9,1967,243690
85,4,6,2019,148833
67,2,6,1951,185219
80,3,9,1958,180591
115,4,5,1967,271174
65,3,2,2006,105562
80,4,9,1995,205570
91,4,4,1999,159804
86,4,8,1974,224486
69,3,6,1959,192082
53,1,5,1972,82623
118,4,5,2016,302499
115,5,2,2005,252190
106,4,6,2012,183643
98,4,8,2021,250678
85,3,4,2016,147433
72,2,10,1965,183923
83,3,3,1967,190219
114,5,10,1978,220655
59,1,5,1986,88459
56,1,10,2020,92625
71,3,7,2007,163028
89,4,3,2009,224975
119,5,5,2008,258928
101,5,7,1957,280851
59,2,3,2019,99042
91,4,2,1997,185981
99,4,4,2019,194052
110,5,6,1988,248044
110,4,5,2001,220948
89,4,8,1977,223085
106,5,4,1970,250914
73,3,10,2003,151630
62,3,1,2022,114708
71,2,2,1958,154566
65,3,4,1989,126680
103,4,10,1977,244078
87,3,7,1992,180336
84,4,7,2005,206748
82,3,3,1999,192512
64,2,4,2008,108197
71,3,1,1979,129479
112,5,10,1991,309705
71,2,4,2013,130901
53,1,8,1954,102861
71,3,7,1954,185373
113,4,4,1986,215132
86,3,5,1995,141679
89,3,3,1959,198079
99,3,3,1976,172846
113,4,6,2014,246596
80,4,5,1957,203867
80,4,5,2001,175545
84,4,6,1998,191262
65,3,4,1991,137898
98,3,8,2016,199502
115,4,6,1989,221264
74,2,4,1972,165823
76,2,10,2008,142153
80,3,1,1993,161889
76,2,2,1966,190654
80,4,3,1954,270246
101,5,4,2022,257761
94,4,8,1960,252965
108,5,6,1954,363906
90,4,9,2021,199483
90,3,4,1962,221988
105,5,7,2016,217644
100,5,3,1996,230243
101,5,1,1967,214894
83,3,9,1986,161333
54,2,10,1960,130409
60,3,4,2012,133458
104,5,7,2002,232087
105,5,2,2022,231835
78,2,10,1964,186571
102,5,9,1963,304775
102,4,8,2010,189076
102,4,3,2015,217726
57,1,6,1998,94794
61,3,7,1998,123440
111,4,10,1967,296011
112,4,6,1965,290132
115,5,8,1973,241434
120,4,7,2018,270426
52,2,4,2004,100375
97,4,10,2012,200107
68,3,7,1964,178563
116,5,7,2014,240181
72,3,2,1998,115456
96,3,10,1989,218832
103,4,2,1951,328950
100,4,9,1985,195285
56,1,1,1963,119038
51,1,9,2018,96082
116,5,2,2006,306867
106,5,1,2004,210164
60,3,2,1997,116380
60,2,8,1985,99580
63,2,9,2012,124442
114,4,1,1985,258777
51,1,8,2018,72488
62,3,4,1972,139052
91,3,6,1979,198207
112,5,6,1993,263151
110,4,4,1957,367763
50,2,10,1998,104421
91,4,4,1987,218715
86,3,1,1997,166224
62,3,8,2011,105845
52,1,1,1963,78571
57,1,2,1962,105294
86,4,1,2007,159488
109,5,4,1952,356968
100,4,5,2004,251225
95,4,5,1969,263543
100,5,4,1955,305169
103,5,4,1976,244649
117,4,3,1968,255021
70,2,8,1971,142505
114,4,1,1977,250573
81,3,1,1960,227276
91,4,7,1980,160985
80,3,7,1962,233047
50,2,10,1968,120092
83,3,7,2019,137515
109,5,7,1958,282827
57,2,4,1989,108699
91,3,7,1965,208203
68,3,9,2015,137655
58,1,4,1972,82548
117,4,3,1992,250782
87,4,7,1986,191326
100,4,5,1973,193705
77,2,6,1956,171642
83,4,8,2000,190055
53,2,3,2002,92524
78,3,4,1957,242527
117,4,4,1971,229061
50,2,3,1966,115633
112,5,2,2014,305182
93,3,4,1973,211431
90,3,4,2004,146999
84,3,5,1994,158045
60,2,10,1959,172379
95,4,4,1959,235418
111,5,1,1962,275163
116,5,9,2008,287686
78,3,6,2000,148532
115,5,4,1985,219723
94,3,6,2010,209601
108,5,7,2019,294000
63,3,3,1957,190529
58,1,2,2009,90687
92,4,10,1982,232631
67,3,5,1958,147346
116,5,5,2019,295484
111,5,1,1989,270573
81,4,9,1961,213918
103,5,6,1981,264588
80,3,5,2017,187798
71,2,1,1989,124260
73,2,2,1982,140457
85,3,9,1979,183416
67,3,7,1998,147099
62,3,7,1985,144126
96,3,5,1972,234107
70,2,5,1991,117887
89,4,10,1963,241350
95,3,4,1988,188041
70,3,6,1974,126548
76,3,8,1956,236833
75,2,9,1970,158854
62,2,1,1972,99174
97,3,7,1993,191915
101,4,7,1970,204009
88,3,8,2012,206024
64,3,2,1955,185325
79,3,4,1960,200707
74,2,2,1959,160621
74,3,6,1999,150673
59,1,3,1991,86930
62,2,2,2001,96170
110,5,8,2001,248347
83,3,7,2009,172852
105,5,9,2007,240745
67,3,1,1961,155498
104,4,2,1991,228035
52,1,7,1993,88616
76,2,4,2008,159434
84,3,5,1986,152425
84,4,9,1980,208832
88,4,4,2003,160953
98,3,1,1980,205075
75,2,5,1966,179490
61,2,6,2002,117995
78,2,10,1975,168562
78,3,6,2017,156030
115,5,6,1951,376726
73,3,8,2003,134746
91,3,1,1999,166697
61,3,3,2016,107929
70,3,10,2021,117398
72,2,1,1974,133976
76,3,3,1994,127079
105,4,9,2004,246332
56,1,8,2005,87149
74,3,10,1961,194080
115,5,9,1958,366971
66,2,4,1983,123830
99,4,6,1976,207217
57,1,9,2003,112431
100,5,7,1989,237661
101,5,10,2015,209513
114,4,6,1950,355380
59,1,1,1997,75487
66,2,8,1972,107477
99,4,2,1951,305864
56,1,7,2015,82162
119,4,3,1968,303568
106,4,3,1967,227225
107,4,4,1950,307869
67,2,2,2018,118044
80,4,7,1958,220982
69,2,8,1986,134741
119,4,5,1992,207649
60,3,9,2013,111381
60,2,10,1953,163444
98,4,5,2014,203232
102,4,2,1999,183008
112,4,1,2013,243331
71,3,1,1972,111280
103,4,6,1952,308911
51,1,4,1957,92326
117,4,6,2010,205909
54,1,6,2011,89692
52,2,7,2011,81244
58,1,8,1965,135218
60,3,7,1951,187898
97,4,9,2009,177771
89,3,5,2007,154127
65,3,5,2016,153713
109,5,8,1983,275451
106,4,7,2004,243981
69,2,5,1988,125785
62,3,6,1981,131764
93,4,7,1968,228495
110,4,6,2020,197853
65,3,3,1959,158260
90,4,8,1967,249972
96,4,9,1969,246403
111,5,6,1961,362698
112,5,10,2003,241924
60,2,9,1987,93132
101,5,5,2017,270595
75,2,2,1952,163644
63,2,10,1984,120794
74,2,9,1986,111810
82,3,3,1967,150688
115,4,6,1965,248408
62,2,6,2002,101511
77,2,4,1965,171588
113,4,8,1986,287210
100,4,7,2018,182804
72,3,9,1996,151719
86,4,7,2021,161446
74,2,5,1961,176982
66,3,9,1982,117116
83,3,10,1958,248510
111,5,7,2001,218699
58,1,3,2001,106582
79,3,2,2013,142085
98,3,5,1970,222496
120,5,3,1986,251095
68,2,10,1975,110385
94,3,8,1962,274454
108,5,1,2017,188850
116,5,6,1958,321653
114,5,5,2022,237561
55,1,5,2009,80083
69,2,1,1971,126891
51,2,8,2001,104112
83,4,4,1954,237428
52,2,5,1967,93198
67,3,2,1981,151712
88,4,3,2009,171621
84,3,9,1970,212078
54,2,2,1990,80220
83,3,6,2020,164520
110,5,9,2005,298743
60,2,4,1954,182335
120,4,3,2001,227377
118,5,8,1965,306474
94,4,10,1987,173516
97,4,7,2002,181208
100,4,3,1994,228272
95,3,4,1962,190554
66,2,2,2007,97361
105,5,5,1981,246373
55,1,6,1981,108409
107,4,3,1983,237197
76,2,7,1953,198816
115,4,2,1972,243277
59,1,6,1970,121489
76,3,4,1974,157243
107,4,10,1979,207820
85,4,4,1975,172674
84,3,7,1950,236665
110,4,1,1969,285724
61,2,3,2003,91569
52,1,9,1951,119054
96,3,3,1967,216717
64,2,9,2020,135047
99,4,1,2000,170996
62,2,8,2016,96107
105,4,7,2001,248944
104,4,5,2021,262749
113,4,4,2012,262272
64,2,4,2006,93103
82,3,9,1968,211317
57,1,9,1982,101040
101,4,5,1981,238548
59,1,4,1990,93263
65,3,5,1968,168138
56,2,3,1981,116366
83,4,10,1959,232331
109,4,9,2012,266444
76,2,5,1999,126273
64,3,4,2010,121825
92,4,2,1973,187014
98,3,2,1980,191372
67,2,3,1981,142990
56,1,8,2003,98665
55,2,6,2000,80888
73,2,5,1959,153747
74,3,1,1956,159487
98,4,4,1959,309653
57,1,7,1970,101038
58,1,3,1952,126224
73,3,6,2017,160114
99,3,8,1980,173752
109,5,8,2013,217694
102,4,7,1971,266788
102,5,5,1982,254392
111,4,4,1955,353185
75,2,7,2008,141362
62,3,9,2017,101630
84,3,9,2004,138427
74,2,3,2019,114282
107,5,9,1959,349532
91,3,4,1992,209123
61,2,8,2010,119146
84,3,4,1978,173757
107,4,7,1983,261676
50,2,9,2020,94035
109,4,10,1956,261051
95,3,9,2021,154652
93,3,8,1995,208017
103,5,7,1976,245012
88,4,7,1964,257918
106,4,8,2009,239371
54,1,1,2017,73522
116,5,6,1984,310082
55,2,6,1965,139775
115,4,7,2001,255907
78,2,5,1952,193508
98,3,8,2012,224246
109,5,5,2012,259872
69,2,2,2004,109859
108,4,4,1956,273447
68,3,5,2008,136992
52,2,4,1952,137616
97,4,7,1976,169874
78,3,3,1968,168371
110,4,4,1999,201827
95,3,2,1994,171628
117,5,9,2009,307306
54,2,4,1979,107979
56,2,6,1966,102306
75,2,4,1967,154431
98,4,2,1979,231422
77,2,9,1951,172546
65,2,10,2009,97377
81,3,10,1993,159910
51,1,4,2004,68788
77,2,3,2021,135609
102,5,1,1985,244373
99,4,1,1987,170104
89,4,1,2015,146635
116,5,1,1995,195824
119,4,9,2011,229695
101,5,10,2021,214167
118,5,2,1963,302483
58,1,8,1962,137443
110,5,10,2016,295382
118,4,6,1974,275460
76,2,7,1997,156884
61,3,3,2004,101721
92,4,5,2008,230421
100,4,9,1965,270845
81,3,1,1988,158880
113,5,2,2017,271986
97,4,2,1965,207633
102,5,8,2013,256388
119,5,6,1967,329558
80,3,6,1970,151856
60,3,6,1979,128552
109,4,5,1955,274733
75,2,8,1958,203275
74,3,9,1980,161819
113,5,3,1974,315845
86,4,9,2020,193298
88,4,6,2011,184257
91,4,3,1981,190806
81,3,3,1979,169279
86,3,10,2015,167530
93,4,10,1973,179916
86,4,1,1971,203910
79,2,6,1999,123941
70,2,4,2012,139833
75,2,3,1993,115265
81,4,4,2009,191161
92,4,3,2002,207876
66,2,2,1980,113187
62,3,8,1961,144258
106,4,10,2016,216441
79,3,3,2005,172440
84,3,2,2015,177686
61,3,10,1982,109266
118,4,3,1968,314245
78,3,3,2003,161460
115,4,6,1997,207498
84,3,9,2019,162563
66,2,3,2018,133716
84,4,2,1966,194692
103,5,5,2002,205718
107,4,10,1965,264458
105,5,9,1969,310621
78,2,2,1985,120582
86,3,1,1952,216045
55,1,8,2014,79615
103,4,4,1966,215330
111,4,10,2016,259317
115,5,2,2003,295671
77,2,1,1990,146280
51,2,1,1995,74072
69,3,10,1959,188449
98,4,1,2007,168222
68,2,7,2011,132689
104,4,9,1961,279242
97,4,10,1956,231676
98,4,4,1957,252720
101,4,9,1979,219379
50,2,1,1959,112149
118,5,7,2003,259329
69,3,3,1972,123269
58,1,8,1962,138912
69,3,2,1979,161345
80,3,4,1986,174481
50,1,7,1962,107608
107,4,1,2007,233126
90,4,3,2005,211737
95,3,3,1970,175311
60,2,1,1962,128373
60,3,9,2009,137530
120,5,3,1994,331650
109,4,4,1969,246160
72,2,6,1992,135336
107,5,4,1970,253832
94,3,5,1991,198082
104,5,4,1962,293887
98,3,9,2014,179504
62,3,1,2005,119902
117,4,9,2013,275475
115,5,10,1993,249902
55,1,10,1962,126099
107,4,10,1989,230975
120,5,5,1957,442399
85,4,9,2006,191368
64,2,6,1997,102280
108,4,5,1951,399178
84,4,7,2017,204816
90,4,8,1989,190923
79,3,2,2016,163026
104,4,8,2017,194299
70,3,1,1972,139465
106,5,3,1981,233785
93,4,5,1989,215383
101,4,2,1970,218139
120,4,4,1951,329130
52,2,2,2022,79425
67,2,2,1972,109011
89,4,9,1994,178577
112,5,4,1960,396195
94,4,8,1987,187750
72,3,6,1954,174703
69,3,8,1951,215251
75,2,6,2008,158170
105,5,10,1960,291069
64,3,8,2011,137453
64,2,3,2017,101595
79,3,8,2021,137200
107,5,9,1970,277012
109,5,9,2006,209755
88,4,10,2011,161775
73,2,4,2018,121735
64,2,4,1986,103604
53,2,3,2011,81656
113,4,8,1987,197482
116,4,8,2001,247731
71,2,9,1991,139629
83,4,9,2021,173104
50,1,4,1992,96844
90,4,5,1992,215167
108,4,3,2019,216123
84,3,3,1979,183532
84,3,4,2007,193086
98,3,2,1956,294212
68,2,10,1982,129299
60,3,1,2018,124904
55,2,8,1954,161734
67,3,6,1953,163293
